"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"006",2021,"Robbery",9,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,4.08997955010225
"006",2021,"Theft Over",8,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,3.63553737786867
"006",2022,"Assault",143,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,64.9852306294024
"006",2022,"Auto Theft",121,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,54.9875028402636
"006",2022,"Break and Enter",15,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,6.81663258350375
"006",2022,"Robbery",10,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,4.54442172233583
"006",2022,"Theft Over",7,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,3.18109520563508
"006",2023,"Assault",143,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,64.9852306294024
"006",2023,"Auto Theft",113,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,51.3519654623949
"006",2023,"Break and Enter",42,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,19.0865712338105
"006",2023,"Robbery",23,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,10.4521699613724
"006",2023,"Theft Over",7,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,3.18109520563508
"006",2024,"Assault",147,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,66.8029993183367
"006",2024,"Auto Theft",75,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,34.0831629175187
"006",2024,"Break and Enter",24,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,10.906612133606
"006",2024,"Robbery",19,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,8.63440127243808
"006",2024,"Theft Over",11,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,4.99886389456942
"006",2025,"Assault",135,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,61.3496932515337
"006",2025,"Auto Theft",70,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,31.8109520563508
"006",2025,"Break and Enter",28,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,12.7243808225403
"006",2025,"Robbery",10,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,4.54442172233583
"006",2025,"Theft Over",5,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,2.27221086116792
"007",2020,"Assault",100,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,44.5533526397861
"007",2020,"Auto Theft",70,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,31.1873468478503
"007",2020,"Break and Enter",20,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,8.91067052795723
"007",2020,"Robbery",15,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,6.68300289596792
"007",2020,"Theft Over",4,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,1.78213410559145
"007",2021,"Assault",58,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,25.840944531076
"007",2021,"Auto Theft",59,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,26.2864780574738
"007",2021,"Break and Enter",22,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,9.80173758075295
"007",2021,"Robbery",6,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,2.67320115838717
"007",2021,"Theft Over",4,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,1.78213410559145
"007",2022,"Assault",96,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,42.7712185341947
"007",2022,"Auto Theft",108,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,48.117620850969
"007",2022,"Break and Enter",27,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,12.0294052127423
"007",2022,"Robbery",15,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,6.68300289596792
"007",2022,"Theft Over",4,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,1.78213410559145
"007",2023,"Assault",125,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,55.6916907997327
"007",2023,"Auto Theft",108,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,48.117620850969
"007",2023,"Break and Enter",31,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,13.8115393183337
"007",2023,"Robbery",17,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,7.57406994876364
"007",2023,"Theft Over",4,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,1.78213410559145
"007",2024,"Assault",101,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,44.998886166184
"007",2024,"Auto Theft",84,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,37.4248162174204
"007",2024,"Break and Enter",42,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,18.7124081087102
"007",2024,"Robbery",14,"Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood",22445,6.23746936957006
