"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"007",2025,"Break and Enter",31,"Willowridge-Martingrove-Richview"
"007",2025,"Robbery",12,"Willowridge-Martingrove-Richview"
"007",2025,"Theft Over",19,"Willowridge-Martingrove-Richview"
"008",2020,"Assault",28,"Humber Heights-Westmount"
"008",2020,"Auto Theft",24,"Humber Heights-Westmount"
"008",2020,"Break and Enter",9,"Humber Heights-Westmount"
"008",2020,"Robbery",2,"Humber Heights-Westmount"
"008",2020,"Theft Over",1,"Humber Heights-Westmount"
"008",2021,"Assault",33,"Humber Heights-Westmount"
"008",2021,"Auto Theft",22,"Humber Heights-Westmount"
"008",2021,"Break and Enter",16,"Humber Heights-Westmount"
"008",2021,"Robbery",1,"Humber Heights-Westmount"
"008",2021,"Theft Over",5,"Humber Heights-Westmount"
"008",2022,"Assault",32,"Humber Heights-Westmount"
"008",2022,"Auto Theft",28,"Humber Heights-Westmount"
"008",2022,"Break and Enter",10,"Humber Heights-Westmount"
"008",2022,"Robbery",9,"Humber Heights-Westmount"
"008",2022,"Theft Over",1,"Humber Heights-Westmount"
"008",2023,"Assault",49,"Humber Heights-Westmount"
"008",2023,"Auto Theft",26,"Humber Heights-Westmount"
"008",2023,"Break and Enter",12,"Humber Heights-Westmount"
"008",2023,"Robbery",6,"Humber Heights-Westmount"
"008",2023,"Theft Over",2,"Humber Heights-Westmount"
"008",2024,"Assault",58,"Humber Heights-Westmount"
"008",2024,"Auto Theft",33,"Humber Heights-Westmount"
"008",2024,"Break and Enter",18,"Humber Heights-Westmount"
"008",2024,"Robbery",13,"Humber Heights-Westmount"
"008",2024,"Theft Over",3,"Humber Heights-Westmount"
"008",2025,"Assault",38,"Humber Heights-Westmount"
"008",2025,"Auto Theft",25,"Humber Heights-Westmount"
"008",2025,"Break and Enter",13,"Humber Heights-Westmount"
"008",2025,"Robbery",10,"Humber Heights-Westmount"
"008",2025,"Theft Over",4,"Humber Heights-Westmount"
"009",2020,"Assault",37,"Edenbridge-Humber Valley"
"009",2020,"Auto Theft",37,"Edenbridge-Humber Valley"
"009",2020,"Break and Enter",23,"Edenbridge-Humber Valley"
"009",2020,"Robbery",9,"Edenbridge-Humber Valley"
"009",2020,"Theft Over",2,"Edenbridge-Humber Valley"
"009",2021,"Assault",38,"Edenbridge-Humber Valley"
"009",2021,"Auto Theft",30,"Edenbridge-Humber Valley"
"009",2021,"Break and Enter",17,"Edenbridge-Humber Valley"
"009",2021,"Robbery",1,"Edenbridge-Humber Valley"
"009",2021,"Theft Over",2,"Edenbridge-Humber Valley"
"009",2022,"Assault",29,"Edenbridge-Humber Valley"
"009",2022,"Auto Theft",76,"Edenbridge-Humber Valley"
"009",2022,"Break and Enter",29,"Edenbridge-Humber Valley"
"009",2022,"Robbery",6,"Edenbridge-Humber Valley"
"009",2022,"Theft Over",8,"Edenbridge-Humber Valley"
"009",2023,"Assault",56,"Edenbridge-Humber Valley"
"009",2023,"Auto Theft",120,"Edenbridge-Humber Valley"
"009",2023,"Break and Enter",63,"Edenbridge-Humber Valley"
"009",2023,"Robbery",7,"Edenbridge-Humber Valley"
"009",2023,"Theft Over",6,"Edenbridge-Humber Valley"
"009",2024,"Assault",64,"Edenbridge-Humber Valley"
"009",2024,"Auto Theft",48,"Edenbridge-Humber Valley"
