"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","population","crime_rate","city_avg_rate","s_crime_rate"
"002",2025,"Theft Over",8,"Mount Olive-Silverstone-Jamestown",31345,2.55224118679215,6.25993971099421,0.0635499285114942
"003",2014,"Assault",61,"Thistletown-Beaumond Heights",9850,61.9289340101523,59.7037606491133,0.174859149147543
"003",2014,"Auto Theft",10,"Thistletown-Beaumond Heights",9850,10.1522842639594,12.5725770449819,0.0999511903962643
"003",2014,"Break and Enter",22,"Thistletown-Beaumond Heights",9850,22.3350253807107,26.6978755593416,0.170188988073872
"003",2014,"Robbery",20,"Thistletown-Beaumond Heights",9850,20.3045685279188,13.5821805100475,0.24245923693396
"003",2014,"Theft Over",1,"Thistletown-Beaumond Heights",9850,1.01522842639594,3.65174026360149,0.0219655661914573
"003",2015,"Assault",59,"Thistletown-Beaumond Heights",9850,59.8984771573604,64.8993305496583,0.122551316030564
"003",2015,"Auto Theft",16,"Thistletown-Beaumond Heights",9850,16.243654822335,11.9822217582044,0.189308205856831
"003",2015,"Break and Enter",23,"Thistletown-Beaumond Heights",9850,23.3502538071066,25.5038899189161,0.205541846409572
"003",2015,"Robbery",24,"Thistletown-Beaumond Heights",9850,24.3654822335025,12.4561626193602,0.387931647719477
"003",2015,"Theft Over",3,"Thistletown-Beaumond Heights",9850,3.04568527918782,3.66782701415542,0.122740629764698
"003",2016,"Assault",48,"Thistletown-Beaumond Heights",9850,48.7309644670051,67.1208846597699,0.106252754487353
"003",2016,"Auto Theft",16,"Thistletown-Beaumond Heights",9850,16.243654822335,11.9533084105112,0.159042461902432
"003",2016,"Break and Enter",23,"Thistletown-Beaumond Heights",9850,23.3502538071066,23.5590159893207,0.257128586492036
"003",2016,"Robbery",16,"Thistletown-Beaumond Heights",9850,16.243654822335,13.2661908051903,0.276059312307763
"003",2016,"Theft Over",1,"Thistletown-Beaumond Heights",9850,1.01522842639594,3.75877737435639,0.0245781623288927
"003",2017,"Assault",61,"Thistletown-Beaumond Heights",9850,61.9289340101523,69.4035720859218,0.103475160043029
"003",2017,"Auto Theft",23,"Thistletown-Beaumond Heights",9850,23.3502538071066,13.0194983285573,0.232203283893982
"003",2017,"Break and Enter",17,"Thistletown-Beaumond Heights",9850,17.258883248731,25.2878854736903,0.126702352838896
"003",2017,"Robbery",24,"Thistletown-Beaumond Heights",9850,24.3654822335025,14.3548478472783,0.34863943507237
"003",2017,"Theft Over",5,"Thistletown-Beaumond Heights",9850,5.0761421319797,4.12216830498806,0.173871723576413
"003",2018,"Assault",53,"Thistletown-Beaumond Heights",9850,53.8071065989848,70.45244134518,0.101511737873991
"003",2018,"Auto Theft",44,"Thistletown-Beaumond Heights",9850,44.6700507614213,16.9822295749662,0.290318136770618
"003",2018,"Break and Enter",16,"Thistletown-Beaumond Heights",9850,16.243654822335,27.5990772510942,0.10203699728149
"003",2018,"Robbery",11,"Thistletown-Beaumond Heights",9850,11.1675126903553,13.2701503600022,0.129881655370883
"003",2018,"Theft Over",1,"Thistletown-Beaumond Heights",9850,1.01522842639594,4.47180131994928,0.0175147453259147
"003",2019,"Assault",74,"Thistletown-Beaumond Heights",9850,75.1269035532995,74.3439178949927,0.12119443421236
"003",2019,"Auto Theft",51,"Thistletown-Beaumond Heights",9850,51.7766497461929,18.6275271489613,0.340286783715831
"003",2019,"Break and Enter",14,"Thistletown-Beaumond Heights",9850,14.2131979695431,31.0331575818545,0.0602110432752195
"003",2019,"Robbery",10,"Thistletown-Beaumond Heights",9850,10.1522842639594,12.642311995235,0.144992962193711
"003",2019,"Theft Over",5,"Thistletown-Beaumond Heights",9850,5.0761421319797,4.91033294764247,0.0918777118672034
"003",2020,"Assault",59,"Thistletown-Beaumond Heights",9850,59.8984771573604,64.6066532437307,0.141779049293833
"003",2020,"Auto Theft",43,"Thistletown-Beaumond Heights",9850,43.6548223350254,20.3235219509665,0.346526540139455
"003",2020,"Break and Enter",11,"Thistletown-Beaumond Heights",9850,11.1675126903553,25.6028576114286,0.0718069834365325
"003",2020,"Robbery",9,"Thistletown-Beaumond Heights",9850,9.13705583756345,9.79054142585102,0.132012643104502
"003",2020,"Theft Over",4,"Thistletown-Beaumond Heights",9850,4.06091370558376,4.32598074185994,0.145639501829162
"003",2021,"Assault",58,"Thistletown-Beaumond Heights",9850,58.8832487309645,67.000711128936,0.142316443878761
"003",2021,"Auto Theft",43,"Thistletown-Beaumond Heights",9850,43.6548223350254,23.3490047634096,0.266989218626686
"003",2021,"Break and Enter",8,"Thistletown-Beaumond Heights",9850,8.12182741116751,20.432061457531,0.050351724989384
"003",2021,"Robbery",6,"Thistletown-Beaumond Heights",9850,6.09137055837564,8.00060922030759,0.102483190966187
"003",2021,"Theft Over",3,"Thistletown-Beaumond Heights",9850,3.04568527918782,3.86280673690401,0.117830009734027
"003",2022,"Assault",59,"Thistletown-Beaumond Heights",9850,59.8984771573604,75.5027763886577,0.12751694622293
"003",2022,"Auto Theft",57,"Thistletown-Beaumond Heights",9850,57.8680203045685,34.6283205409473,0.232035962907291
"003",2022,"Break and Enter",17,"Thistletown-Beaumond Heights",9850,17.258883248731,22.1324764378535,0.137597281286216
