"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION"
"004",2015,"Break and Enter",17,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2015,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2015,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2016,"Assault",76,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2016,"Auto Theft",22,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2016,"Break and Enter",16,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2016,"Robbery",15,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2017,"Assault",93,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2017,"Auto Theft",25,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2017,"Break and Enter",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2017,"Robbery",30,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2017,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2018,"Assault",76,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2018,"Auto Theft",58,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2018,"Break and Enter",18,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2018,"Robbery",23,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2018,"Theft Over",4,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2019,"Assault",56,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2019,"Auto Theft",53,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2019,"Break and Enter",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2019,"Robbery",21,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2019,"Theft Over",2,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2020,"Assault",50,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2020,"Auto Theft",42,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2020,"Break and Enter",19,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2020,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2020,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2021,"Assault",49,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2021,"Auto Theft",41,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2021,"Break and Enter",28,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2021,"Robbery",10,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2021,"Theft Over",2,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2022,"Assault",58,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2022,"Auto Theft",60,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2022,"Break and Enter",21,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2022,"Robbery",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2022,"Theft Over",9,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2023,"Assault",79,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2023,"Auto Theft",75,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2023,"Break and Enter",16,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2023,"Robbery",24,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2023,"Theft Over",4,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2024,"Assault",93,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2024,"Auto Theft",46,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2024,"Break and Enter",24,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2024,"Robbery",25,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2024,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2025,"Assault",72,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2025,"Auto Theft",37,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2025,"Break and Enter",19,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2025,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2025,"Theft Over",7,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"005",2014,"Assault",43,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2014,"Auto Theft",7,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2014,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2014,"Robbery",14,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2014,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2015,"Assault",54,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2015,"Auto Theft",19,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2015,"Break and Enter",17,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2015,"Robbery",8,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2016,"Assault",70,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2016,"Auto Theft",15,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2016,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2016,"Robbery",21,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2017,"Assault",63,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2017,"Auto Theft",14,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2017,"Break and Enter",12,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2017,"Robbery",22,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2017,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2018,"Assault",59,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2018,"Auto Theft",33,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2018,"Break and Enter",7,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2018,"Robbery",13,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2018,"Theft Over",1,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2019,"Assault",77,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2019,"Auto Theft",27,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2019,"Break and Enter",10,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2019,"Robbery",16,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2019,"Theft Over",4,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2020,"Assault",52,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2020,"Auto Theft",45,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2020,"Break and Enter",13,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2020,"Robbery",7,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2020,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2021,"Assault",65,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2021,"Auto Theft",49,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2021,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2021,"Robbery",7,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2021,"Theft Over",3,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2022,"Assault",67,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2022,"Auto Theft",64,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2022,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2022,"Robbery",15,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2023,"Assault",61,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2023,"Auto Theft",41,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2023,"Break and Enter",16,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2023,"Robbery",14,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2023,"Theft Over",4,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2024,"Assault",82,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2024,"Auto Theft",50,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2024,"Break and Enter",11,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2024,"Robbery",21,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2024,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2025,"Assault",71,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2025,"Auto Theft",49,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2025,"Break and Enter",16,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2025,"Robbery",14,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"005",2025,"Theft Over",4,"Elms-Old Rexdale","Neighbourhood Improvement Area"
"006",2014,"Assault",96,"Kingsview Village-The Westway","Neighbourhood Improvement Area"
"006",2014,"Auto Theft",56,"Kingsview Village-The Westway","Neighbourhood Improvement Area"
"006",2014,"Break and Enter",36,"Kingsview Village-The Westway","Neighbourhood Improvement Area"
